"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037106406","Census Tract 1064.06","Census Tract 1064.06, Los Angeles County, California","00","06","037","106406",4412.594,1866.23,1441.115,197.9098,13.84712,153.1713,1.878067,4.036395,54.272,2546.364,1204.771,8.803909,37.84616,6.194722,3.235209,1165.013,120.4994,4412.59382776237,1449.78955237633,1449.78955237633,1402.89881756175,46.8907348145744,32,222534.177149927,1402.89881756175,1092.67670328484,310.222114276912
"06037106407","Census Tract 1064.07","Census Tract 1064.07, Los Angeles County, California","00","06","037","106407",2344,661.2286,333.5389,202.0287,6.323108,78.57603,4.363043,5.338262,31.06054,1682.771,735.0668,14.53133,16.97763,0.004813478,0.005501117,813.3904,102.7949,2344,632.929358468676,632.929358468676,611.594188868497,21.3351696001798,27,150176.907622306,611.594188868497,197.37534466018,414.218844208316
"06037106408","Census Tract 1064.08","Census Tract 1064.08, Los Angeles County, California","00","06","037","106408",3246,948.3788,526.2815,239.4368,12.1426,109.9717,5.678043,8.004183,46.86399,2297.621,982.1231,16.63989,24.00862,0.9061372,1.035585,1135.203,137.7048,3246,877.555083683635,877.555083683635,848.904006077351,28.651077606284,28,194666.298644196,848.904006077351,360.363008442793,488.540997634558
"06037106510","Census Tract 1065.10","Census Tract 1065.10, Los Angeles County, California","00","06","037","106510",3651.945,1953.848,1262.545,436.0291,21.00062,154.2371,4,12.00124,64.03471,1698.097,982.0583,9.00031,9.00031,9.00031,3,587.0291,99.00899,3651.94547200439,1000.30276176607,1000.30276176607,973.297183760147,27.0055780059256,29,348409.284749697,973.297183760147,742.277660739408,231.01952302074
"06037106520","Census Tract 1065.20","Census Tract 1065.20, Los Angeles County, California","00","06","037","106520",5717,1294,1074,90,20,44,1,15,50,4423,1980,16,38,3,0,2154,232,5717,1421,1421,1380,41,29,213945.587425902,1380,1104,276
"06037106603","Census Tract 1066.03","Census Tract 1066.03, Los Angeles County, California","00","06","037","106603",3050.055,2736.152,1759.455,93.97087,1.99938,764.7629,0,3.99876,111.9653,313.9027,187.9417,0.9996901,0.9996901,0.9996901,0,93.97087,28.99101,3050.05452799561,976.697238233927,976.697238233927,958.702816239853,17.9944219940744,34,513572.041098586,958.702816239853,895.722339260592,62.9804769792604
"06037106604","Census Tract 1066.04","Census Tract 1066.04, Los Angeles County, California","00","06","037","106604",4667.763,1185.906,594.3932,128.6732,22.08569,353.3711,3.84099,16.32421,67.21733,3481.857,1377.955,4.801238,39.37015,15.36396,5.761485,1900.33,138.2756,4667.76313676593,1161.89948477407,1161.89948477407,1136.93304956405,24.9664352100214,24,280935.74411913,1136.93304956405,677.934740702889,458.998308861163
"06037106641","Census Tract 1066.41","Census Tract 1066.41, Los Angeles County, California","00","06","037","106641",2335,2105,1539,56,8,388,0,12,102,230,131,7,2,4,0,67,19,2335,784,784,768,16,36,467732.704752803,768,712,56
"06037106642","Census Tract 1066.42","Census Tract 1066.42, Los Angeles County, California","00","06","037","106642",3042,2647.159,2055.538,114.4092,2.251956,330.5344,2.314945,7.251956,134.858,394.8412,261.6135,0,0,2.062989,0,108.1491,23.01565,3042,1063.84780907668,1063.84780907668,1048.6510172144,15.1967918622848,31,415620.304838727,1048.6510172144,956.926838810642,91.7241784037559
"06037106643","Census Tract 1066.43","Census Tract 1066.43, Los Angeles County, California","00","06","037","106643",3879.997,3497.998,2499.878,141.6423,7.208132,689.9627,0.2601721,12.20813,146.8391,381.9989,254.0718,3.999997,0,2.052033,1.999999,81.21004,38.66507,3879.99719494236,1204.65601661784,1204.65601661784,1181.66737894025,22.9886376775911,31,725902.52846454,1181.66737894025,1121.76483870302,59.9025402372257
